AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-02-09-4739,Contingencies,3660,2007,Actual
01-02-09-4740,Community Promotions,9000,2007,Actual
01-02-09-4743,Miscellaneous Expense,6000,2007,Actual
01-02-09-4900,Fringe Benefits,27546,2007,Actual
01-02-09-4901,Pension,9369,2007,Actual
01-02-09-4913,Social Security,13935,2007,Actual
01-03-08-4000,Salaries,91939,2007,Actual
01-03-08-4307,Conferences/Training,1000,2007,Actual
01-03-08-4308,Subscriptions,500,2007,Actual
01-03-08-4317,Dues,500,2007,Actual
01-03-08-4739,Contingencies,1412,2007,Actual
01-03-08-4900,Fringe Benefits,18364,2007,Actual
01-03-08-4901,Pension,6246,2007,Actual
01-03-08-4913,Social Security,7141,2007,Actual
01-04-06-4000,Salaries,150375,2007,Actual
01-04-06-4200,Advertising,9820,2007,Actual
01-04-06-4307,Conferences/Training,1361,2007,Actual
01-04-06-4308,Subscriptions,830,2007,Actual
01-04-06-4317,Dues,2800,2007,Actual
01-04-06-4510,General Plant Supplies,2400,2007,Actual
01-04-06-4700,Travel Expense,2800,2007,Actual
01-04-06-4739,Contingencies,989,2007,Actual
01-04-06-4900,Fringe Benefits,18364,2007,Actual
01-04-06-4901,Pension,6246,2007,Actual
01-04-06-4913,Social Security,11618,2007,Actual
01-04-06-4917,ICMA Pension,15000,2007,Actual
01-04-23-4000,Salaries,363284,2007,Actual
01-04-23-4222,Consulting Services,15000,2007,Actual
01-04-23-4235,Fees,99300,2007,Actual
01-04-23-4307,Conferences/Training,25000,2007,Actual
01-04-23-4411,Maintenance Agreements,555260,2007,Actual
01-04-23-4739,Contingencies,13701,2007,Actual
01-04-23-4802,Machinery and Equipment,49000,2007,Actual
01-04-23-4900,Fringe Benefits,91223,2007,Actual
01-04-23-4901,Pension,31231,2007,Actual
01-04-23-4913,Social Security,33429,2007,Actual
01-04-36-4000,Salaries,1028205,2007,Actual
01-04-36-4016,Temporary Wages,19600,2007,Actual
01-04-36-4200,Advertising,2704.8,2007,Actual
01-04-36-4202,Printing,900,2007,Actual
01-04-36-4210,Abatement,93615,2007,Actual
01-04-36-4216,Contracted Services,7320,2007,Actual
01-04-36-4226,UCC Ed and Training Fee,6000,2007,Actual
01-04-36-4235,Fees,1375.2,2007,Actual
01-04-36-4307,Conferences/Training,20000,2007,Actual
01-04-36-4308,Subscriptions,400,2007,Actual
01-04-36-4317,Dues,1000,2007,Actual
01-04-36-4504,Uniforms,1000,2007,Actual
01-04-36-4510,General Plant Supplies,11000,2007,Actual
01-04-36-4522,Medical/Surgical Supplies,500,2007,Actual
01-04-36-4530,Mechanical Trades Testing,8000,2007,Actual
01-04-36-4739,Contingencies,6000,2007,Actual
01-04-36-4803,Vehicles,38385,2007,Actual
01-04-36-4900,Fringe Benefits,240977,2007,Actual
01-04-36-4901,Pension,87448,2007,Actual
01-04-36-4913,Social Security,85818,2007,Actual
01-04-39-4000,Salaries,254000,2007,Actual
01-04-39-4238,Physicals,60,2007,Actual
01-04-39-4739,Contingencies,4200,2007,Actual
01-04-39-4900,Fringe Benefits,36728,2007,Actual
01-04-39-4901,Pension,12493,2007,Actual
01-04-39-4913,Social Security,19752,2007,Actual
01-04-41-4000,Salaries,136715,2007,Actual
01-04-41-4016,Temporary Wages,9529,2007,Actual
01-04-41-4104,Telephone,1000,2007,Actual
01-04-41-4510,General Plant Supplies,900,2007,Actual
01-04-41-4739,Contingencies,1500,2007,Actual
01-04-41-4900,Fringe Benefits,34937,2007,Actual
01-04-41-4901,Pension,12493,2007,Actual
01-04-41-4913,Social Security,10562,2007,Actual
01-04-42-4000,Salaries,21235,2007,Actual
01-04-42-4200,Advertising,850,2007,Actual
01-04-42-4216,Contracted Services,200,2007,Actual
01-04-42-4235,Fees,300,2007,Actual
01-04-42-4510,General Plant Supplies,399.41,2007,Actual
01-04-42-4525,Minor Capital Equipment,167,2007,Actual
01-04-42-4700,Travel Expense,200,2007,Actual
01-04-42-4913,Social Security,2354.59,2007,Actual
01-06-10-3288,Bank Charge Revenue,-10800,2007,Actual
01-06-10-3542,School District Collection,-85000,2007,Actual
01-06-10-4000,Salaries,128719,2007,Actual
01-06-10-4006,Overtime,150,2007,Actual
01-06-10-4016,Temporary Wages,150,2007,Actual
01-06-10-4203,Rentals/Lease,1648,2007,Actual
01-06-10-4216,Contracted Services,2500,2007,Actual
01-06-10-4411,Maintenance Agreements,11000,2007,Actual
01-06-10-4510,General Plant Supplies,1000,2007,Actual
01-06-10-4900,Fringe Benefits,12493,2007,Actual
01-06-10-4901,Pension,20864,2007,Actual
01-06-10-4913,Social Security,9870,2007,Actual
01-06-13-4000,Salaries,206205,2007,Actual
01-06-13-4016,Temporary Wages,5000,2007,Actual
01-06-13-4307,Conferences/Training,3784,2007,Actual
01-06-13-4308,Subscriptions,800,2007,Actual
01-06-13-4317,Dues,200,2007,Actual
01-06-13-4510,General Plant Supplies,4313.24,2007,Actual
01-06-13-4739,Contingencies,5579.76,2007,Actual
01-06-13-4900,Fringe Benefits,44716,2007,Actual
01-06-13-4901,Pension,18739,2007,Actual
01-06-13-4913,Social Security,16348,2007,Actual
01-06-16-4000,Salaries,38000,2007,Actual
01-06-16-4016,Temporary Wages,9900,2007,Actual
01-06-16-4203,Rentals/Lease,28924,2007,Actual
01-06-16-4216,Contracted Services,6678,2007,Actual
01-06-16-4307,Conferences/Training,381,2007,Actual
01-06-16-4317,Dues,493,2007,Actual
01-06-16-4402,Maintenance/Repair Equipment,2500,2007,Actual
01-06-16-4411,Maintenance Agreements,200400,2007,Actual
01-06-16-4506,Office Supplies,55000,2007,Actual
01-06-16-4509,Postage,66,2007,Actual
01-06-16-4510,General Plant Supplies,14975,2007,Actual
01-06-16-4739,Contingencies,1140,2007,Actual
01-06-16-4900,Fringe Benefits,9182,2007,Actual
01-06-16-4901,Pension,3123,2007,Actual
01-06-16-4913,Social Security,3664,2007,Actual
01-06-18-4000,Salaries,191914,2007,Actual
01-06-18-4006,Overtime,300,2007,Actual
01-06-18-4016,Temporary Wages,3780,2007,Actual
01-06-18-4216,Contracted Services,5000,2007,Actual
01-06-18-4307,Conferences/Training,4000,2007,Actual
01-06-18-4308,Subscriptions,180,2007,Actual
01-06-18-4317,Dues,500,2007,Actual
01-06-18-4510,General Plant Supplies,1000,2007,Actual
01-06-18-4900,Fringe Benefits,52107,2007,Actual
01-06-18-4901,Pension,19520,2007,Actual
01-06-18-4913,Social Security,19721,2007,Actual
01-06-21-3160,Admissions Fee/Tax,-600000,2007,Actual
01-06-21-3214,Reimb-Collection Expense,-150000,2007,Actual
01-06-21-3631,School District Tax Services,-220000,2007,Actual
01-06-21-3632,Duplicate Bill Fee,-1500,2007,Actual
01-06-21-3634,Certifications,-70000,2007,Actual
01-06-21-3758,Cost Reimbursement-Grants Acct,-800,2007,Actual
01-06-21-4000,Salaries,508200,2007,Actual
01-06-21-4002,Longevity,2650,2007,Actual
01-06-21-4006,Overtime,750,2007,Actual
01-06-21-4016,Temporary Wages,25200,2007,Actual
01-06-21-4200,Advertising,900,2007,Actual
01-06-21-4213,Collection Expense - Tax Claim,6500,2007,Actual
01-06-21-4214,Collection Expense,105000,2007,Actual
01-06-21-4216,Contracted Services,1000,2007,Actual
01-06-21-4224,Legal Services,21890.24,2007,Actual
01-06-21-4307,Conferences/Training,1550,2007,Actual
01-06-21-4317,Dues,550,2007,Actual
01-06-21-4506,Office Supplies,1605,2007,Actual
01-06-21-4510,General Plant Supplies,1100,2007,Actual
01-06-21-4525,Minor Capital Equipment,130,2007,Actual
01-06-21-4700,Travel Expense,250,2007,Actual
01-06-21-4739,Contingencies,1725,2007,Actual
01-06-21-4900,Fringe Benefits,125677,2007,Actual
01-06-21-4901,Pension,39039,2007,Actual
01-06-21-4911,Penny Fund,320,2007,Actual
01-06-21-4913,Social Security,41197,2007,Actual
01-06-21-4924,Interest Expense,500,2007,Actual
01-06-22-3631,School District Tax Services,-37800,2007,Actual
01-06-22-4000,Salaries,15312,2007,Actual
01-06-22-4402,Maintenance/Repair Equipment,13000,2007,Actual
01-06-22-4509,Postage,150000,2007,Actual
01-06-22-4900,Fringe Benefits,4293,2007,Actual
01-06-22-4901,Pension,1562,2007,Actual
01-06-22-4913,Social Security,1171,2007,Actual
01-06-23-3631,School District Tax Services,-20000,2007,Actual
01-07-14-3636,Other Department Earnings,-7500,2007,Actual
01-07-14-4000,Salaries,391966,2007,Actual
01-07-14-4006,Overtime,5000,2007,Actual
01-07-14-4216,Contracted Services,128000,2007,Actual
01-07-14-4307,Conferences/Training,2000,2007,Actual
01-07-14-4402,Maintenance/Repair Equipment,1000,2007,Actual
01-07-14-4500,Vehicle Supplies,25000,2007,Actual
01-07-14-4501,Gas,490249,2007,Actual
01-07-14-4502,Tires and Tubes,30000,2007,Actual
01-07-14-4503,Repair Parts,150000,2007,Actual
01-07-14-4504,Uniforms,4000,2007,Actual
01-07-14-4510,General Plant Supplies,5000,2007,Actual
01-07-14-4528,Small tools,5000,2007,Actual
01-07-14-4900,Fringe Benefits,95032,2007,Actual
01-07-14-4901,Pension,34354,2007,Actual
01-07-14-4913,Social Security,30368,2007,Actual
01-07-24-4000,Salaries,208537,2007,Actual
01-07-24-4006,Overtime,4400,2007,Actual
01-07-24-4101,Light & Power,99736.31,2007,Actual
01-07-24-4104,Telephone,150,2007,Actual
01-07-24-4216,Contracted Services,6188,2007,Actual
01-07-24-4317,Dues,60,2007,Actual
01-07-24-4407,Maintenance/Repairs Property,89442.32,2007,Actual
01-07-24-4408,Maint/Repair Traffic Signals,16324.87,2007,Actual
01-07-24-4409,Maint/Repair Street Lights,73768.82,2007,Actual
01-07-24-4739,Contingencies,700,2007,Actual
01-07-24-4900,Fringe Benefits,50950,2007,Actual
01-07-24-4901,Pension,18426,2007,Actual
01-07-24-4913,Social Security,16290,2007,Actual
01-07-50-3653,Towing Revenue,-31000,2007,Actual
01-07-50-4000,Salaries,116981,2007,Actual
01-07-50-4203,Rentals/Lease,236000,2007,Actual
01-07-50-4222,Consulting Services,54000,2007,Actual
01-07-50-4307,Conferences/Training,2500,2007,Actual
01-07-50-4317,Dues,1300,2007,Actual
01-07-50-4510,General Plant Supplies,200,2007,Actual
01-07-50-4739,Contingencies,3509,2007,Actual
01-07-50-4900,Fringe Benefits,18364,2007,Actual
01-07-50-4901,Pension,6246,2007,Actual
01-07-50-4913,Social Security,9218,2007,Actual
01-07-51-3552,15Th Street Alley Assess Reimb,-1500,2007,Actual
01-07-51-4000,Salaries,93818,2007,Actual
01-07-51-4006,Overtime,2000,2007,Actual
01-07-51-4216,Contracted Services,120,2007,Actual
01-07-51-4222,Consulting Services,2685.2,2007,Actual
01-07-51-4402,Maintenance/Repair Equipment,1200,2007,Actual
01-07-51-4510,General Plant Supplies,2600,2007,Actual
01-07-51-4739,Contingencies,5124.8,2007,Actual
01-07-51-4900,Fringe Benefits,22918,2007,Actual
01-07-51-4901,Pension,8120,2007,Actual
01-07-51-4913,Social Security,7622,2007,Actual
01-07-52-4000,Salaries,661062,2007,Actual
01-07-52-4006,Overtime,70000,2007,Actual
01-07-52-4016,Temporary Wages,53082,2007,Actual
01-07-52-4203,Rentals/Lease,66872,2007,Actual
01-07-52-4216,Contracted Services,16100,2007,Actual
01-07-52-4235,Fees,96478,2007,Actual
01-07-52-4238,Physicals,300,2007,Actual
01-07-52-4444,Drug & Alcohol Testing,300,2007,Actual
01-07-52-4504,Uniforms,1500,2007,Actual
01-07-52-4510,General Plant Supplies,18500,2007,Actual
01-07-52-4525,Minor Capital Equipment,1300,2007,Actual
01-07-52-4739,Contingencies,657,2007,Actual
01-07-52-4900,Fringe Benefits,186656,2007,Actual
01-07-52-4901,Pension,67397,2007,Actual
01-07-52-4913,Social Security,68833,2007,Actual
01-07-71-3743,Miscellaneous,-8000,2007,Actual
01-07-71-4000,Salaries,532039,2007,Actual
01-07-71-4006,Overtime,10000,2007,Actual
01-07-71-4016,Temporary Wages,107628,2007,Actual
01-07-71-4216,Contracted Services,71850,2007,Actual
01-07-71-4238,Physicals,400,2007,Actual
01-07-71-4307,Conferences/Training,500,2007,Actual
01-07-71-4317,Dues,560,2007,Actual
01-07-71-4401,Maintenance/Repair Building,16710,2007,Actual
01-07-71-4444,Drug & Alcohol Testing,400,2007,Actual
01-07-71-4504,Uniforms,1500,2007,Actual
01-07-71-4510,General Plant Supplies,63200,2007,Actual
01-07-71-4514,Botanical Supplies,5540,2007,Actual
01-07-71-4525,Minor Capital Equipment,6265,2007,Actual
01-07-71-4739,Contingencies,657,2007,Actual
01-07-71-4803,Vehicles,70587,2007,Actual
01-07-71-4900,Fringe Benefits,126561,2007,Actual
01-07-71-4901,Pension,45535,2007,Actual
01-07-71-4913,Social Security,49750,2007,Actual
01-07-73-3556,Recreation Activities Revenue,-36000,2007,Actual
01-07-73-3557,Day Camp Revenue,-20000,2007,Actual
01-07-73-3710,Checking Account Revenue,-12000,2007,Actual
01-07-73-3743,Miscellaneous,-50,2007,Actual
01-07-73-3763,CD Cost Reimbursement,-70000,2007,Actual
01-07-73-4000,Salaries,216176,2007,Actual
01-07-73-4006,Overtime,4000,2007,Actual
01-07-73-4016,Temporary Wages,308164,2007,Actual
01-07-73-4200,Advertising,1200,2007,Actual
01-07-73-4216,Contracted Services,6731.5,2007,Actual
01-07-73-4307,Conferences/Training,700,2007,Actual
01-07-73-4317,Dues,1000,2007,Actual
01-07-73-4402,Maintenance/Repair Equipment,1500,2007,Actual
01-07-73-4504,Uniforms,2500,2007,Actual
01-07-73-4510,General Plant Supplies,33200,2007,Actual
01-07-73-4513,Chemical Supplies,14500,2007,Actual
01-07-73-4522,Medical/Surgical Supplies,506,2007,Actual
01-07-73-4554,Misc Expend for Recreation,2000,2007,Actual
01-07-73-4556,Recreation Activities Expendit,1844,2007,Actual
01-07-73-4700,Travel Expense,1218.5,2007,Actual
01-07-73-4739,Contingencies,1394,2007,Actual
01-07-73-4740,Community Promotions,1000,2007,Actual
01-07-73-4803,Vehicles,41148,2007,Actual
01-07-73-4900,Fringe Benefits,47459,2007,Actual
01-07-73-4901,Pension,16396,2007,Actual
01-07-73-4913,Social Security,39148,2007,Actual
01-07-74-3104,Telephone Reimbursement,-12000,2007,Actual
01-07-74-3277,Restitution,-1000,2007,Actual
01-07-74-4000,Salaries,365293,2007,Actual
01-07-74-4006,Overtime,10000,2007,Actual
01-07-74-4016,Temporary Wages,83200,2007,Actual
01-07-74-4100,Fuel,164500,2007,Actual
01-07-74-4101,Light & Power,392237.68,2007,Actual
01-07-74-4104,Telephone,282000,2007,Actual
01-07-74-4133,Gas-Utilities,225000,2007,Actual
01-07-74-4203,Rentals/Lease,1000,2007,Actual
01-07-74-4216,Contracted Services,151841,2007,Actual
01-07-74-4402,Maintenance/Repair Equipment,110000,2007,Actual
01-07-74-4403,Stadium Commission Capital,5000,2007,Actual
01-07-74-4405,Maintenance Supplies,84500,2007,Actual
01-07-74-4504,Uniforms,1000,2007,Actual
01-07-74-4505,Janitorial Supplies,40000,2007,Actual
01-07-74-4510,General Plant Supplies,51159,2007,Actual
01-07-74-4739,Contingencies,657,2007,Actual
01-07-74-4803,Vehicles,30000,2007,Actual
01-07-74-4900,Fringe Benefits,75050,2007,Actual
01-07-74-4901,Pension,26796,2007,Actual
01-07-74-4913,Social Security,35125,2007,Actual
01-08-28-4000,Salaries,2463214,2007,Actual
01-08-28-4001,Holiday Pay,130573,2007,Actual
01-08-28-4002,Longevity,111476,2007,Actual
01-08-28-4003,Uniform/Clothing Allowance,13775,2007,Actual
01-08-28-4006,Overtime,326540,2007,Actual
01-08-28-4007,Court Time,80912,2007,Actual
01-08-28-4008,Minor Judiciary,72790,2007,Actual
01-08-28-4203,Rentals/Lease,16080,2007,Actual
01-08-28-4216,Contracted Services,2400,2007,Actual
01-08-28-4308,Subscriptions,2200,2007,Actual
01-08-28-4317,Dues,995,2007,Actual
01-08-28-4402,Maintenance/Repair Equipment,1500,2007,Actual
01-08-28-4411,Maintenance Agreements,18760,2007,Actual
01-08-28-4510,General Plant Supplies,51400,2007,Actual
01-08-28-4733,Vice Funds,25000,2007,Actual
01-08-28-4900,Fringe Benefits,513884,2007,Actual
01-08-28-4902,Police Pension,367074,2007,Actual
01-08-28-4913,Social Security,33748,2007,Actual
01-08-29-3710,Checking Account Revenue,-10000,2007,Actual
01-08-29-4000,Salaries,654408,2007,Actual
01-08-29-4001,Holiday Pay,30590,2007,Actual
01-08-29-4002,Longevity,30295,2007,Actual
01-08-29-4003,Uniform/Clothing Allowance,2125,2007,Actual
01-08-29-4004,Salaries Civilian,650415,2007,Actual
01-08-29-4005,Overtime Civilian,185360,2007,Actual
01-08-29-4006,Overtime,79716,2007,Actual
01-08-29-4007,Court Time,276,2007,Actual
01-08-29-4008,Minor Judiciary,15501,2007,Actual
01-08-29-4016,Temporary Wages,46265,2007,Actual
01-08-29-4202,Printing,11095,2007,Actual
01-08-29-4203,Rentals/Lease,8638,2007,Actual
01-08-29-4216,Contracted Services,18320,2007,Actual
01-08-29-4307,Conferences/Training,36750,2007,Actual
01-08-29-4308,Subscriptions,1135,2007,Actual
01-08-29-4317,Dues,570,2007,Actual
01-08-29-4402,Maintenance/Repair Equipment,44000,2007,Actual
01-08-29-4411,Maintenance Agreements,5260,2007,Actual
01-08-29-4510,General Plant Supplies,113076,2007,Actual
01-08-29-4525,Minor Capital Equipment,15000,2007,Actual
01-08-29-4614,Police Academy,115260,2007,Actual
01-08-29-4900,Fringe Benefits,392014,2007,Actual
01-08-29-4901,Pension,81201,2007,Actual
01-08-29-4902,Police Pension,119299,2007,Actual
01-08-29-4913,Social Security,84847,2007,Actual
01-08-30-4000,Salaries,8487266,2007,Actual
01-08-30-4001,Holiday Pay,450317,2007,Actual
01-08-30-4002,Longevity,253542,2007,Actual
01-08-30-4003,Uniform/Clothing Allowance,27425,2007,Actual
01-08-30-4004,Salaries Civilian,439733,2007,Actual
01-08-30-4006,Overtime,685131,2007,Actual
01-08-30-4007,Court Time,211006,2007,Actual
01-08-30-4008,Minor Judiciary,568868,2007,Actual
01-08-30-4016,Temporary Wages,410850,2007,Actual
01-08-30-4202,Printing,100,2007,Actual
01-08-30-4216,Contracted Services,5200,2007,Actual
01-08-30-4308,Subscriptions,1700,2007,Actual
01-08-30-4317,Dues,1010,2007,Actual
01-08-30-4402,Maintenance/Repair Equipment,13000,2007,Actual
01-08-30-4504,Uniforms,145950,2007,Actual
01-08-30-4510,General Plant Supplies,25275,2007,Actual
01-08-30-4732,Care/Feeding Prisoners,500,2007,Actual
01-08-30-4803,Vehicles,277849,2007,Actual
01-08-30-4900,Fringe Benefits,1944833,2007,Actual
01-08-30-4901,Pension,6246,2007,Actual
01-08-30-4902,Police Pension,1376528,2007,Actual
01-08-30-4913,Social Security,144577,2007,Actual
01-08-31-3554,Grants and Gifts,-450000,2007,Actual
01-08-31-3613,Rdg. Housing Auth.-Reimb.,-162500,2007,Actual
01-08-31-3633,Police Application Fee,-1000,2007,Actual
01-08-31-3636,Other Department Earnings,-1200,2007,Actual
01-08-31-3650,Police Services/Copy Service,-105000,2007,Actual
01-08-31-3651,D.A.R.E Program,-5000,2007,Actual
01-08-31-3653,Towing Revenue,-29000,2007,Actual
01-08-31-3654,Burglary/Robery Alarm Ordinanc,-10000,2007,Actual
01-08-31-3777,Heart and Lung Reimbursement,-100000,2007,Actual
01-08-31-4000,Salaries,556921,2007,Actual
01-08-31-4001,Holiday Pay,25593,2007,Actual
01-08-31-4002,Longevity,27689,2007,Actual
01-08-31-4003,Uniform/Clothing Allowance,2200,2007,Actual
01-08-31-4004,Salaries Civilian,35579,2007,Actual
01-08-31-4006,Overtime,3967,2007,Actual
01-08-31-4007,Court Time,104,2007,Actual
01-08-31-4008,Minor Judiciary,104,2007,Actual
01-08-31-4216,Contracted Services,13550,2007,Actual
01-08-31-4222,Consulting Services,30950,2007,Actual
01-08-31-4307,Conferences/Training,2800,2007,Actual
01-08-31-4308,Subscriptions,1840,2007,Actual
01-08-31-4317,Dues,9185,2007,Actual
01-08-31-4411,Maintenance Agreements,1500,2007,Actual
01-08-31-4504,Uniforms,4000,2007,Actual
01-08-31-4506,Office Supplies,1500,2007,Actual
01-08-31-4510,General Plant Supplies,17500,2007,Actual
01-08-31-4739,Contingencies,1067,2007,Actual
01-08-31-4803,Vehicles,3900,2007,Actual
01-08-31-4900,Fringe Benefits,88117,2007,Actual
01-08-31-4901,Pension,6246,2007,Actual
01-08-31-4902,Police Pension,55061,2007,Actual
01-08-31-4913,Social Security,882,2007,Actual
01-08-31-4917,ICMA Pension,15000,2007,Actual
01-09-32-3620,Fire Incident Reports,-3500,2007,Actual
01-09-32-3623,False Fire Alarm Fee,-40000,2007,Actual
01-09-32-3625,Non Fire Spill/Leaks Fee,-500,2007,Actual
01-09-32-3636,Other Department Earnings,-16000,2007,Actual
01-09-32-3639,Miscellaneous Revenue-Donation,-500,2007,Actual
01-09-32-3642,Fire Prevention Permits,-60000,2007,Actual
01-09-32-3777,Heart and Lung Reimbursement,-90000,2007,Actual
01-09-32-4000,Salaries,414559,2007,Actual
01-09-32-4001,Holiday Pay,19699,2007,Actual
01-09-32-4002,Longevity,19100,2007,Actual
01-09-32-4003,Uniform/Clothing Allowance,4200,2007,Actual
01-09-32-4006,Overtime,1500,2007,Actual
01-09-32-4101,Light & Power,11000,2007,Actual
01-09-32-4202,Printing,2300,2007,Actual
01-09-32-4203,Rentals/Lease,9662,2007,Actual
01-09-32-4235,Fees,22082,2007,Actual
01-09-32-4308,Subscriptions,3185,2007,Actual
01-09-32-4315,Physical Fitness,4442,2007,Actual
01-09-32-4317,Dues,630,2007,Actual
01-09-32-4510,General Plant Supplies,12310,2007,Actual
01-09-32-4739,Contingencies,9687,2007,Actual
01-09-32-4900,Fringe Benefits,63677,2007,Actual
01-09-32-4901,Pension,6246,2007,Actual
01-09-32-4903,Fire Pension,25680,2007,Actual
01-09-32-4913,Social Security,6403,2007,Actual
01-09-33-4000,Salaries,167094,2007,Actual
01-09-33-4001,Holiday Pay,9293,2007,Actual
01-09-33-4002,Longevity,3655,2007,Actual
01-09-33-4003,Uniform/Clothing Allowance,2100,2007,Actual
01-09-33-4006,Overtime,21000,2007,Actual
01-09-33-4208,Training,33960,2007,Actual
01-09-33-4231,Scuba Team,6745,2007,Actual
01-09-33-4307,Conferences/Training,13000,2007,Actual
01-09-33-4308,Subscriptions,1860,2007,Actual
01-09-33-4317,Dues,600,2007,Actual
01-09-33-4510,General Plant Supplies,3600,2007,Actual
01-09-33-4728,Explorer Post,9390,2007,Actual
01-09-33-4772,Canteen Contribution,900,2007,Actual
01-09-33-4802,Machinery and Equipment,16350,2007,Actual
01-09-33-4803,Vehicles,8254.76,2007,Actual
01-09-33-4900,Fringe Benefits,38541,2007,Actual
01-09-33-4903,Fire Pension,15408,2007,Actual
01-09-34-4000,Salaries,6055600,2007,Actual
01-09-34-4001,Holiday Pay,338127,2007,Actual
01-09-34-4002,Longevity,177515,2007,Actual
01-09-34-4003,Uniform/Clothing Allowance,108200,2007,Actual
01-09-34-4006,Overtime,500000,2007,Actual
01-09-34-4216,Contracted Services,143882,2007,Actual
01-09-34-4238,Physicals,48300,2007,Actual
01-09-34-4402,Maintenance/Repair Equipment,85630,2007,Actual
01-09-34-4513,Chemical Supplies,50640,2007,Actual
01-09-34-4802,Machinery and Equipment,20400,2007,Actual
01-09-34-4900,Fringe Benefits,1336099,2007,Actual
01-09-34-4903,Fire Pension,534139,2007,Actual
01-09-34-4913,Social Security,90000,2007,Actual
01-09-35-3554,Grants and Gifts,-150,2007,Actual
01-09-35-3559,Reimb. for Equip/Supplies,-500,2007,Actual
01-09-35-3600,"Copies of Books, Ordinanc, Etc",-1200,2007,Actual
01-09-35-3641,User Fees,-2500000,2007,Actual
01-09-35-3643,Standby Revenue,-28000,2007,Actual
01-09-35-3644,Delinquent Collections,-10000,2007,Actual
01-09-35-3671,Membership Fees,-60000,2007,Actual
01-09-35-4000,Salaries,1347548,2007,Actual
01-09-35-4001,Holiday Pay,75501,2007,Actual
01-09-35-4002,Longevity,12155,2007,Actual
01-09-35-4003,Uniform/Clothing Allowance,20300,2007,Actual
01-09-35-4006,Overtime,542000,2007,Actual
01-09-35-4104,Telephone,3400,2007,Actual
01-09-35-4105,Utilities,4000,2007,Actual
01-09-35-4201,Communications-Medical,11200,2007,Actual
01-09-35-4203,Rentals/Lease,100,2007,Actual
01-09-35-4214,Collection Expense,165700,2007,Actual
01-09-35-4215,Removal of Infectious Waste,1664,2007,Actual
01-09-35-4222,Consulting Services,6000,2007,Actual
01-09-35-4235,Fees,2656,2007,Actual
01-09-35-4238,Physicals,500,2007,Actual
01-09-35-4307,Conferences/Training,150,2007,Actual
01-09-35-4308,Subscriptions,350,2007,Actual
01-09-35-4317,Dues,860,2007,Actual
01-09-35-4401,Maintenance/Repair Building,9040,2007,Actual
01-09-35-4402,Maintenance/Repair Equipment,15090,2007,Actual
01-09-35-4501,Gas,55000,2007,Actual
01-09-35-4510,General Plant Supplies,2000,2007,Actual
01-09-35-4522,Medical/Surgical Supplies,40000,2007,Actual
01-09-35-4525,Minor Capital Equipment,111660,2007,Actual
01-09-35-4701,Vehicle Operations,23000,2007,Actual
01-09-35-4720,Dispatching-Medical,182716,2007,Actual
01-09-35-4739,Contingencies,1837,2007,Actual
01-09-35-4802,Machinery and Equipment,4432,2007,Actual
01-09-35-4803,Vehicles,130090,2007,Actual
01-09-35-4900,Fringe Benefits,368901,2007,Actual
01-09-35-4903,Fire Pension,148943,2007,Actual
01-09-35-4913,Social Security,25777,2007,Actual
01-10-17-4000,Salaries,49495,2007,Actual
01-10-17-4200,Advertising,2000,2007,Actual
01-10-17-4202,Printing,2900,2007,Actual
01-10-17-4216,Contracted Services,24355,2007,Actual
01-10-17-4307,Conferences/Training,7000,2007,Actual
01-10-17-4308,Subscriptions,600,2007,Actual
01-10-17-4506,Office Supplies,100,2007,Actual
01-10-17-4739,Contingencies,4995,2007,Actual
01-10-17-4900,Fringe Benefits,34937,2007,Actual
01-10-17-4901,Pension,12493,2007,Actual
01-10-17-4913,Social Security,13119,2007,Actual
01-10-36-3277,Restitution,-15000,2007,Actual
01-10-36-3279,PMD Placard Removal Fees,-5000,2007,Actual
01-10-36-3281,Appeal Fees,-500,2007,Actual
01-10-37-3279,PMD Placard Removal Fees,-45000,2007,Actual
01-10-58-4000,Salaries,92919,2007,Actual
01-10-58-4200,Advertising,500,2007,Actual
01-10-58-4202,Printing,1900,2007,Actual
01-10-58-4307,Conferences/Training,8000,2007,Actual
01-10-58-4509,Postage,100,2007,Actual
01-10-58-4739,Contingencies,1649,2007,Actual
01-10-58-4900,Fringe Benefits,26949,2007,Actual
01-10-58-4901,Pension,7496,2007,Actual
01-10-58-4913,Social Security,7235,2007,Actual
01-11-11-3444,Reimb Drug Testing,-650,2007,Actual
01-11-11-4000,Salaries,184661,2007,Actual
01-11-11-4200,Advertising,5000,2007,Actual
01-11-11-4216,Contracted Services,11000,2007,Actual
01-11-11-4233,Special Events,3500,2007,Actual
01-11-11-4235,Fees,25000,2007,Actual
01-11-11-4238,Physicals,5000,2007,Actual
01-11-11-4307,Conferences/Training,25000,2007,Actual
01-11-11-4308,Subscriptions,500,2007,Actual
01-11-11-4317,Dues,1500,2007,Actual
01-11-11-4444,Drug & Alcohol Testing,5500,2007,Actual
01-11-11-4506,Office Supplies,1500,2007,Actual
01-11-11-4739,Contingencies,6781,2007,Actual
01-11-11-4900,Fringe Benefits,54495,2007,Actual
01-11-11-4901,Pension,18739,2007,Actual
01-11-11-4913,Social Security,18126,2007,Actual
01-12-12-4000,Salaries,229270,2007,Actual
01-12-12-4016,Temporary Wages,25000,2007,Actual
